OTU,Muskegon_HNA,Muskegon_LNA,Inland_HNA,Inland_LNA,Michigan_HNA,Michigan_LNA,FCM,Lake
Otu001118,NA,NA,NA,0.268,NA,NA,LNA,Inland
Otu002596,NA,NA,NA,0.132,NA,NA,LNA,Inland
Otu002082,NA,NA,NA,0.172,NA,NA,LNA,Inland
Otu001707,NA,NA,NA,0.13,NA,NA,LNA,Inland
Otu000634,NA,NA,NA,0.122,NA,NA,LNA,Inland
Otu000216,NA,NA,NA,NA,0.264,0.362,Both,Michigan
Otu000025,NA,NA,NA,NA,0.362,0.318,Both,Michigan
Otu000081,NA,NA,NA,NA,0.356,0.3,Both,Michigan
Otu000359,NA,NA,NA,NA,0.288,NA,HNA,Michigan
Otu000539,NA,NA,NA,NA,0.264,NA,HNA,Michigan
Otu001568,NA,NA,NA,NA,0.288,NA,HNA,Michigan
Otu000249,NA,NA,NA,NA,0.358,NA,HNA,Michigan
Otu000225,NA,NA,NA,NA,0.26,NA,HNA,Michigan
Otu000330,NA,NA,NA,NA,0.274,NA,HNA,Michigan
Otu001497,NA,NA,NA,NA,0.26,NA,HNA,Michigan
Otu000540,NA,NA,NA,NA,NA,0.294,LNA,Michigan
Otu001300,NA,NA,NA,NA,NA,0.3,LNA,Michigan
