"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"Sp13.BD.MM110.SD.1" 171 0.735496247678019 0.736567517293696 0.00785792711511532 392 -0.136329797920405 0.392 999
"Sp13.BD.MM110.SN.1" 160 0.722021801886793 0.723523036420855 0.00726555645597051 381.5 -0.206623476558166 0.3815 999
"Sp13.BD.MM15.DD.1" 329 0.75445160019275 0.755360320072834 0.00517975294497264 411 -0.175436915570782 0.411 999
"Sp13.BD.MM15.SD.1" 284 0.825433934205942 0.822696759091247 0.00588854372375189 688 0.464830566453131 0.688 999
"Sp13.BD.MM15.SN.1" 306 0.780010151933998 0.779793246764175 0.0058969525411781 508 0.0367825869900706 0.508 999
"Su13.BD.MLB.DD.1" 333 0.713623780527516 0.716756955572744 0.00467303993954956 253 -0.670478978514914 0.253 999
"Su13.BD.MLB.SD.1" 287 0.733464135376818 0.73510181717011 0.00480848268287673 371 -0.340581822021212 0.371 999
"Su13.BD.MM110.DCMD.1" 198 0.739301201353638 0.740588318410191 0.00593443902296963 429.5 -0.216889423173981 0.4295 999
"Su13.BD.MM110.DN.1" 234 0.70715308719416 0.710025775791198 0.00543373521122619 308.5 -0.528676589006893 0.3085 999
"Su13.BD.MM110.SD.1" 170 0.816816327880265 0.814327980317944 0.00678870884250924 643.5 0.366542095124037 0.6435 999
"Su13.BD.MM110.SN.1" 157 0.81766916870815 0.814721329483983 0.00717080630515714 666.5 0.411088948539323 0.6665 999
"Su13.BD.MM15.DN.1" 220 0.77633796430054 0.776197119871636 0.00627148092984449 499 0.0224579218974557 0.499 999
"Su13.BD.MM15.SD.1" 212 0.797075395689887 0.796266605112221 0.00521735926276831 583 0.155019146072013 0.583 999
"Su13.BD.MM15.SN.1" 236 0.778494363144609 0.777744878867327 0.0052847906090422 563 0.141819105566627 0.563 999
"Z14001F" 267 0.792075584466785 0.791019045032473 0.00595666481197952 567 0.17737097313032 0.567 999
"Z14002F" 296 0.756139078790655 0.756912727988868 0.00506806468919372 451 -0.152651800175897 0.451 999
"Z14004F" 367 0.812219473503968 0.810103359711165 0.00478390899600273 678 0.44233989287236 0.678 999
"Z14005F" 306 0.763645594128362 0.763983064724856 0.00455027039554318 467 -0.0741649544221251 0.467 999
"Z14006F" 282 0.765987476338305 0.766238185431336 0.00510207661489859 477 -0.0491386374518024 0.477 999
"Z14008F" 328 0.762488380137242 0.762687992100962 0.00429951596735658 489 -0.0464266129573276 0.489 999
"Z14009F" 269 0.754531993008933 0.754994340959169 0.00456522427220401 480 -0.101276065022987 0.48 999
"Z14010F" 268 0.760626685113757 0.760603584218687 0.00484589525045695 496 0.00476710574132106 0.496 999
"Z14012F" 305 0.773091796376186 0.773106011080969 0.00460306614034101 486 -0.00308809483699986 0.486 999
"Z14013F" 314 0.782249424920128 0.78160577592244 0.00463727025492955 583 0.138799112905699 0.583 999
"Z14014F" 277 0.761027100402867 0.761374596960273 0.00484871196030483 479 -0.0716678079149544 0.479 999
"Z14016F" 312 0.771352889149971 0.771131303146043 0.00456462999016311 538 0.0485441326910127 0.538 999
"Z14017F" 355 0.77285497763985 0.772595734481995 0.00440143846425566 532 0.0588996438233572 0.532 999
"Z14018F" 335 0.759706284028957 0.760098098256626 0.00417287441339084 462 -0.0938955235297975 0.462 999
"Z14019F" 369 0.691075712560386 0.695023135199238 0.00429269405207024 177 -0.919567663329797 0.177 999
"Z14020F" 347 0.779539059819093 0.779198225435377 0.00414380990543993 529 0.0822514525266056 0.529 999
"Z14021F" 287 0.78643363173412 0.785654967833992 0.00509356640228456 553 0.152872042617923 0.553 999
"Z14022F" 321 0.792896657320872 0.791920427112471 0.00465674118216959 579.5 0.209638064520224 0.5795 999
"Z14024F" 318 0.827459973811083 0.824678155820642 0.0052890111648459 708 0.525961829865333 0.708 999
"Z14025F" 318 0.768064795944686 0.767716311974336 0.0047198988176477 524 0.0738329324025022 0.524 999
"Z14026F" 297 0.7687755005005 0.768460016174606 0.0051432255604616 530 0.0613397802966204 0.53 999
"Z14027F" 225 0.68265431031746 0.687339279080668 0.00608394511446119 225 -0.770054409608622 0.225 999
