Sample_fcm;Platform;Lake;Sample_16S;Season;Month;Year;Fraction;Site;Depth
Z14-59-1_rep3.fcs;Accuri;Inland;Z14-059-F;Fall;October;2014;Free;Whitmore;Deep
Z14-61-1_rep1.fcs;Accuri;Inland;Z14-061-F;Fall;October;2014;Free;Independence;Surface
Z14-61-1_rep2.fcs;Accuri;Inland;Z14-061-F;Fall;October;2014;Free;Independence;Surface
Z14-61-1_rep3.fcs;Accuri;Inland;Z14-061-F;Fall;October;2014;Free;Independence;Surface
Z14-63-1_rep1.fcs;Accuri;Inland;Z14-063-F;Fall;October;2014;Free;Independence;Deep
Z14-63-1_rep2.fcs;Accuri;Inland;Z14-063-F;Fall;October;2014;Free;Independence;Deep
Z14-63-1_rep3.fcs;Accuri;Inland;Z14-063-F;Fall;October;2014;Free;Independence;Deep
Z14-65-1_rep1.fcs;Accuri;Inland;Z15-065-F;Spring;April;2015;Free;North;Surface
Z14-65-1_rep2.fcs;Accuri;Inland;Z15-065-F;Spring;April;2015;Free;North;Surface
Z14-65-1_rep3.fcs;Accuri;Inland;Z15-065-F;Spring;April;2015;Free;North;Surface
Z14-67-1_rep1.fcs;Accuri;Inland;Z15-067-F;Spring;April;2015;Free;North;Deep
Z14-67-1_rep2.fcs;Accuri;Inland;Z15-067-F;Spring;April;2015;Free;North;Deep
Z14-67-1_rep3.fcs;Accuri;Inland;Z15-067-F;Spring;April;2015;Free;North;Deep
Z14-69-1_rep1.fcs;Accuri;Inland;Z15-069-F;Spring;April;2015;Free;Bruin;Surface
Z14-69-1_rep2.fcs;Accuri;Inland;Z15-069-F;Spring;April;2015;Free;Bruin;Surface
Z14-69-1_rep3.fcs;Accuri;Inland;Z15-069-F;Spring;April;2015;Free;Bruin;Surface
Z14-71-1_rep1.fcs;Accuri;Inland;Z15-071-F;Spring;April;2015;Free;Bruin;Deep
Z14-71-1_rep2.fcs;Accuri;Inland;Z15-071-F;Spring;April;2015;Free;Bruin;Deep
Z14-71-1_rep3.fcs;Accuri;Inland;Z15-071-F;Spring;April;2015;Free;Bruin;Deep
Z14-73-1_rep1.fcs;Accuri;Inland;Z15-073-F;Spring;April;2015;Free;Whitmore;Surface
Z14-73-1_rep2.fcs;Accuri;Inland;Z15-073-F;Spring;April;2015;Free;Whitmore;Surface
Z14-73-1_rep3.fcs;Accuri;Inland;Z15-073-F;Spring;April;2015;Free;Whitmore;Surface
Z14-75-1_rep1.fcs;Accuri;Inland;Z15-075-F;Spring;April;2015;Free;Whitmore;Deep
Z14-75-1_rep2.fcs;Accuri;Inland;Z15-075-F;Spring;April;2015;Free;Whitmore;Deep
Z14-75-1_rep3.fcs;Accuri;Inland;Z15-075-F;Spring;April;2015;Free;Whitmore;Deep
Z14-77-1_rep1.fcs;Accuri;Inland;Z15-077-F;Spring;April;2015;Free;Independence;Surface
Z14-77-1_rep2.fcs;Accuri;Inland;Z15-077-F;Spring;April;2015;Free;Independence;Surface
Z14-77-1_rep3.fcs;Accuri;Inland;Z15-077-F;Spring;April;2015;Free;Independence;Surface
Z14-79-1_rep1.fcs;Accuri;Inland;Z15-079-F;Spring;April;2015;Free;Independence;Deep
Z14-79-1_rep2.fcs;Accuri;Inland;Z15-079-F;Spring;April;2015;Free;Independence;Deep
Z14-79-1_rep3.fcs;Accuri;Inland;Z15-079-F;Spring;April;2015;Free;Independence;Deep
Z14-1-1_rep4.fcs;FACS;Inland;Z14-001-F;Summer;June;2014;Free;Bishop;Surface
Z14-1-1_rep5.fcs;FACS;Inland;Z14-001-F;Summer;June;2014;Free;Bishop;Surface
Z14-1-1_rep6.fcs;FACS;Inland;Z14-001-F;Summer;June;2014;Free;Bishop;Surface
Z14-2-1_rep4.fcs;FACS;Inland;Z14-002-F;Summer;June;2015;Free;Bishop;Surface
Z14-2-1_rep5.fcs;FACS;Inland;Z14-002-F;Summer;June;2015;Free;Bishop;Surface
Z14-2-1_rep6.fcs;FACS;Inland;Z14-002-F;Summer;June;2015;Free;Bishop;Surface
Z14-3-1_rep4.fcs;FACS;Inland;Z14-003-F;Summer;June;2015;Free;Bishop;Deep
Z14-3-1_rep5.fcs;FACS;Inland;Z14-003-F;Summer;June;2015;Free;Bishop;Deep
Z14-3-1_rep6.fcs;FACS;Inland;Z14-003-F;Summer;June;2015;Free;Bishop;Deep
Z14-4-1_rep4.fcs;FACS;Inland;Z14-004-F;Summer;June;2015;Free;Bishop;Surface
Z14-4-1_rep5.fcs;FACS;Inland;Z14-004-F;Summer;June;2015;Free;Bishop;Surface
Z14-4-1_rep6.fcs;FACS;Inland;Z14-004-F;Summer;June;2015;Free;Bishop;Surface
Z14-5-1_rep4.fcs;FACS;Inland;Z14-005-F;Summer;June;2015;Free;Woodland;Surface
Z14-5-1_rep5.fcs;FACS;Inland;Z14-005-F;Summer;June;2015;Free;Woodland;Surface
Z14-5-1_rep6.fcs;FACS;Inland;Z14-005-F;Summer;June;2015;Free;Woodland;Surface
Z14-6-1_rep4.fcs;FACS;Inland;Z14-006-F;Summer;June;2015;Free;Woodland;Surface
Z14-6-1_rep5.fcs;FACS;Inland;Z14-006-F;Summer;June;2015;Free;Woodland;Surface
Z14-6-1_rep6.fcs;FACS;Inland;Z14-006-F;Summer;June;2015;Free;Woodland;Surface
Z14-7-1_rep4.fcs;FACS;Inland;Z14-007-F;Summer;June;2015;Free;Woodland;Deep
Z14-7-1_rep5.fcs;FACS;Inland;Z14-007-F;Summer;June;2015;Free;Woodland;Deep
Z14-7-1_rep6.fcs;FACS;Inland;Z14-007-F;Summer;June;2015;Free;Woodland;Deep
Z14-8-1_rep4.fcs;FACS;Inland;Z14-008-F;Summer;June;2015;Free;Woodland;Surface
Z14-8-1_rep5.fcs;FACS;Inland;Z14-008-F;Summer;June;2015;Free;Woodland;Surface
Z14-8-1_rep6.fcs;FACS;Inland;Z14-008-F;Summer;June;2015;Free;Woodland;Surface
Z14-9-1_rep4.fcs;FACS;Inland;Z14-009-F;Summer;June;2015;Free;Big Seven;Surface
Z14-9-1_rep5.fcs;FACS;Inland;Z14-009-F;Summer;June;2015;Free;Big Seven;Surface
Z14-9-1_rep6.fcs;FACS;Inland;Z14-009-F;Summer;June;2015;Free;Big Seven;Surface
Z14-10-1_rep4.fcs;FACS;Inland;Z14-010-F;Summer;June;2015;Free;Big Seven;Surface
Z14-10-1_rep5.fcs;FACS;Inland;Z14-010-F;Summer;June;2015;Free;Big Seven;Surface
Z14-10-1_rep6.fcs;FACS;Inland;Z14-010-F;Summer;June;2015;Free;Big Seven;Surface
Z14-11-1_rep4.fcs;FACS;Inland;Z14-011-F;Summer;June;2015;Free;Big Seven;Deep
Z14-11-1_rep5.fcs;FACS;Inland;Z14-011-F;Summer;June;2015;Free;Big Seven;Deep
Z14-11-1_rep6.fcs;FACS;Inland;Z14-011-F;Summer;June;2015;Free;Big Seven;Deep
Z14-12-1_rep4.fcs;FACS;Inland;Z14-012-F;Summer;June;2015;Free;Big Seven;Surface
Z14-12-1_rep5.fcs;FACS;Inland;Z14-012-F;Summer;June;2015;Free;Big Seven;Surface
Z14-12-1_rep6.fcs;FACS;Inland;Z14-012-F;Summer;June;2015;Free;Big Seven;Surface
Z14-13-1_rep4.fcs;FACS;Inland;Z14-013-F;Summer;June;2015;Free;Heron;Surface
Z14-13-1_rep5.fcs;FACS;Inland;Z14-013-F;Summer;June;2015;Free;Heron;Surface
Z14-13-1_rep6.fcs;FACS;Inland;Z14-013-F;Summer;June;2015;Free;Heron;Surface
Z14-14-1_rep4.fcs;FACS;Inland;Z14-014-F;Summer;June;2015;Free;Heron;Surface
Z14-14-1_rep5.fcs;FACS;Inland;Z14-014-F;Summer;June;2015;Free;Heron;Surface
Z14-14-1_rep6.fcs;FACS;Inland;Z14-014-F;Summer;June;2015;Free;Heron;Surface
Z14-15-1_rep4.fcs;FACS;Inland;Z14-015-F;Summer;June;2015;Free;Heron;Deep
Z14-15-1_rep5.fcs;FACS;Inland;Z14-015-F;Summer;June;2015;Free;Heron;Deep
Z14-15-1_rep6.fcs;FACS;Inland;Z14-015-F;Summer;June;2015;Free;Heron;Deep
Z14-16-1_rep4.fcs;FACS;Inland;Z14-016-F;Summer;June;2015;Free;Heron;Surface
Z14-16-1_rep5.fcs;FACS;Inland;Z14-016-F;Summer;June;2015;Free;Heron;Surface
Z14-16-1_rep6.fcs;FACS;Inland;Z14-016-F;Summer;June;2015;Free;Heron;Surface
Z14-17-1_rep4.fcs;FACS;Inland;Z14-017-F;Summer;June;2015;Free;Lobdell;Surface
Z14-17-1_rep5.fcs;FACS;Inland;Z14-017-F;Summer;June;2015;Free;Lobdell;Surface
Z14-17-1_rep6.fcs;FACS;Inland;Z14-017-F;Summer;June;2015;Free;Lobdell;Surface
Z14-18-1_rep4.fcs;FACS;Inland;Z14-018-F;Summer;June;2015;Free;Lobdell;Surface
Z14-18-1_rep5.fcs;FACS;Inland;Z14-018-F;Summer;June;2015;Free;Lobdell;Surface
Z14-18-1_rep6.fcs;FACS;Inland;Z14-018-F;Summer;June;2015;Free;Lobdell;Surface
Z14-19-1_rep4.fcs;FACS;Inland;Z14-019-F;Summer;June;2015;Free;Lobdell;Deep
Z14-19-1_rep5.fcs;FACS;Inland;Z14-019-F;Summer;June;2015;Free;Lobdell;Deep
Z14-19-1_rep6.fcs;FACS;Inland;Z14-019-F;Summer;June;2015;Free;Lobdell;Deep
Z14-20-1_rep4.fcs;FACS;Inland;Z14-020-F;Summer;June;2015;Free;Lobdell;Surface
Z14-20-1_rep5.fcs;FACS;Inland;Z14-020-F;Summer;June;2015;Free;Lobdell;Surface
Z14-20-1_rep6.fcs;FACS;Inland;Z14-020-F;Summer;June;2015;Free;Lobdell;Surface
Z14-21-1_rep4.fcs;FACS;Inland;Z14-021-F;Summer;June;2015;Free;North;Surface
Z14-21-1_rep5.fcs;FACS;Inland;Z14-021-F;Summer;June;2015;Free;North;Surface
Z14-21-1_rep6.fcs;FACS;Inland;Z14-021-F;Summer;June;2015;Free;North;Surface
Z14-22-1_rep4.fcs;FACS;Inland;Z14-022-F;Summer;June;2015;Free;North;Surface
Z14-22-1_rep5.fcs;FACS;Inland;Z14-022-F;Summer;June;2015;Free;North;Surface
Z14-22-1_rep6.fcs;FACS;Inland;Z14-022-F;Summer;June;2015;Free;North;Surface
Z14-23-1_rep4.fcs;FACS;Inland;Z14-023-F;Summer;June;2015;Free;North;Deep
