OTU,hex,Phylum
Otu001107,#ADFF2F,Proteobacteria_unclassified
Otu000207,#00FFFF,Gammaproteobacteria
Otu000511,#6B8E23,Deltaproteobacteria
Otu000247,#00FFFF,Gammaproteobacteria
Otu000745,#CD0000,Epsilonproteobacteria
Otu000329,#6495ED,Bacteroidetes
Otu001498,#6B8E23,Deltaproteobacteria
Otu000066,#FF8C00,Planctomycetes
Otu000523,#0000FF,Actinobacteria
Otu000120,#6B8E23,Deltaproteobacteria
Otu000269,#00FFFF,Gammaproteobacteria
Otu000053,#0000FF,Actinobacteria
Otu001301,#6B8E23,Deltaproteobacteria
Otu000108,#6495ED,Bacteroidetes
Otu000067,#6495ED,Bacteroidetes
Otu000307,#FFBBFF,Betaproteobacteria
Otu000501,#B3B3B3,Bacteria_unclassified
Otu000637,#6495ED,Bacteroidetes
Otu001215,#6495ED,Bacteroidetes
Otu000555,#6B8E23,Deltaproteobacteria
Otu000006,#0000FF,Actinobacteria
Otu002163,#FFBBFF,Betaproteobacteria
Otu001341,#6495ED,Bacteroidetes
Otu001414,#0000FF,Actinobacteria
Otu000582,#FF4500,Alphaproteobacteria
Otu000297,#6495ED,Bacteroidetes
Otu000650,#A020F0,Verrucomicrobia
Otu000140,#6B8E23,Deltaproteobacteria
Otu000378,#A020F0,Verrucomicrobia
Otu000093,#B3B3B3,Bacteria_unclassified
Otu000274,#FF4500,Alphaproteobacteria
Otu000597,#0000FF,Actinobacteria
Otu000105,#FF4500,Alphaproteobacteria
Otu000660,#6495ED,Bacteroidetes
Otu000189,#32CD32,Cyanobacteria
Otu001643,#FFBBFF,Betaproteobacteria
Otu001134,#6495ED,Bacteroidetes
Otu002185,#FFBBFF,Betaproteobacteria
Otu000073,#FFBBFF,Betaproteobacteria
Otu001709,#B3B3B3,Bacteria_unclassified
Otu000706,#FF4500,Alphaproteobacteria
Otu001250,#6495ED,Bacteroidetes
Otu000222,#6495ED,Bacteroidetes
Otu000315,#FFBBFF,Betaproteobacteria
Otu000311,#FF4500,Alphaproteobacteria
Otu000856,#A020F0,Verrucomicrobia
Otu000358,#FF4500,Alphaproteobacteria
Otu001793,#E0E0E0,unknown_unclassified
Otu001175,#A020F0,Verrucomicrobia
Otu000156,#6495ED,Bacteroidetes
Otu000579,#FFBBFF,Betaproteobacteria
Otu000680,#6495ED,Bacteroidetes
Otu001645,#B3B3B3,Bacteria_unclassified
Otu000720,#FFBBFF,Betaproteobacteria
Otu000522,#FFBBFF,Betaproteobacteria
Otu000401,#F5DEB3,Armatimonadetes
Otu001118,#32CD32,Cyanobacteria
Otu002596,#FFBBFF,Betaproteobacteria
Otu002082,#FF4500,Alphaproteobacteria
Otu001707,#6B8E23,Deltaproteobacteria
Otu000634,#A020F0,Verrucomicrobia
Otu000216,#6495ED,Bacteroidetes
Otu000025,#6495ED,Bacteroidetes
Otu000081,#A020F0,Verrucomicrobia
Otu000359,#A020F0,Verrucomicrobia
Otu000539,#FFC125,Chloroflexi
Otu001568,#E0E0E0,unknown_unclassified
Otu000249,#0000FF,Actinobacteria
Otu000225,#6495ED,Bacteroidetes
Otu000330,#ADFF2F,Proteobacteria_unclassified
Otu001497,#E0E0E0,unknown_unclassified
Otu000540,#6495ED,Bacteroidetes
Otu001300,#E0E0E0,unknown_unclassified
