OTU,Muskegon_LNA,Inland_LNA,Michigan_LNA,RL_score,lake
Otu000638,NA,NA,NA,NA,NA
Otu000441,NA,0.134,NA,0.134,Inland
Otu001107,NA,NA,NA,NA,NA
Otu000207,NA,NA,NA,NA,NA
Otu000511,NA,0.138,NA,0.138,Inland
Otu000247,NA,NA,NA,NA,NA
Otu000745,NA,0.212,NA,0.212,Inland
Otu000329,NA,NA,NA,NA,NA
Otu001498,NA,NA,NA,NA,NA
Otu000066,NA,NA,NA,NA,NA
Otu000523,NA,0.19,NA,0.19,Inland
Otu000120,NA,0.23,NA,0.23,Inland
Otu000269,NA,0.334,NA,0.334,Inland
Otu000053,NA,0.184,NA,0.184,Inland
Otu001301,NA,0.304,NA,0.304,Inland
Otu000108,NA,0.19,NA,0.19,Inland
Otu000067,NA,0.14,NA,0.14,Inland
Otu000307,NA,0.138,NA,0.138,Inland
Otu000501,NA,0.244,NA,0.244,Inland
Otu000637,NA,0.248,NA,0.248,Inland
Otu001215,NA,0.158,NA,0.158,Inland
Otu000555,NA,0.384,NA,0.384,Inland
Otu000006,NA,0.122,NA,0.122,Inland
Otu002163,NA,0.18,NA,0.18,Inland
Otu001341,NA,0.176,NA,0.176,Inland
Otu001414,NA,0.206,NA,0.206,Inland
Otu000582,NA,0.148,NA,0.148,Inland
Otu000297,NA,0.114,NA,0.114,Inland
Otu000650,NA,0.136,NA,0.136,Inland
Otu000140,NA,0.208,NA,0.208,Inland
Otu000378,NA,0.14,NA,0.14,Inland
Otu000093,NA,0.254,NA,0.254,Inland
Otu000274,NA,0.12,NA,0.12,Inland
Otu000597,NA,0.224,NA,0.224,Inland
Otu000105,NA,0.11,NA,0.11,Inland
Otu000660,NA,0.148,NA,0.148,Inland
Otu000189,NA,0.144,NA,0.144,Inland
Otu001643,NA,0.176,NA,0.176,Inland
Otu001134,NA,0.112,NA,0.112,Inland
Otu002185,NA,0.114,NA,0.114,Inland
Otu000073,NA,0.298,NA,0.298,Inland
Otu001709,NA,0.136,NA,0.136,Inland
Otu000706,NA,0.132,NA,0.132,Inland
Otu001250,NA,0.128,NA,0.128,Inland
Otu000222,NA,0.134,NA,0.134,Inland
Otu000315,NA,0.242,NA,0.242,Inland
Otu000311,NA,0.11,NA,0.11,Inland
Otu000856,NA,0.132,NA,0.132,Inland
Otu000358,NA,0.142,NA,0.142,Inland
Otu001793,NA,0.114,NA,0.114,Inland
Otu001175,NA,0.11,NA,0.11,Inland
Otu000156,NA,0.142,NA,0.142,Inland
Otu000579,NA,0.134,NA,0.134,Inland
Otu000680,NA,0.136,NA,0.136,Inland
Otu001645,NA,0.116,NA,0.116,Inland
Otu000720,NA,0.222,NA,0.222,Inland
Otu000522,NA,0.15,NA,0.15,Inland
Otu000401,NA,0.132,NA,0.132,Inland
Otu001118,NA,0.268,NA,0.268,Inland
Otu002596,NA,0.132,NA,0.132,Inland
Otu002082,NA,0.172,NA,0.172,Inland
Otu001707,NA,0.13,NA,0.13,Inland
Otu000634,NA,0.122,NA,0.122,Inland
Otu000216,NA,NA,0.362,0.362,Michigan
Otu000025,NA,NA,0.318,0.318,Michigan
Otu000081,NA,NA,0.3,0.3,Michigan
Otu000359,NA,NA,NA,NA,NA
Otu000539,NA,NA,NA,NA,NA
Otu001568,NA,NA,NA,NA,NA
Otu000249,NA,NA,NA,NA,NA
Otu000225,NA,NA,NA,NA,NA
Otu000330,NA,NA,NA,NA,NA
Otu001497,NA,NA,NA,NA,NA
Otu000540,NA,NA,0.294,0.294,Michigan
Otu001300,NA,NA,0.3,0.3,Michigan
