"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000019" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000931" "Otu001021" "Otu001345" "Otu001487" "Otu001697" "Otu001846"
"MBRH2F515" 0.548207526163438 0.00155867290135827 0.0848363393453574 0.221108884435538 0.118013805388555 0.00489868626141171 0.0104653751948341 0.00200400801603206 0.000222667557336896 0.00378534847472723 0.000445335114673792 0.00200400801603206 0 0 0.000890670229347584 0 0 0.000445335114673792 0 0 0 0.00111333778668448
"MBRH2F915" 0.402582943665108 0.00489868626141171 0.11333778668448 0.227566243598308 0.14918726341572 0 0.025606769093743 0.0293921175684703 0.00512135381874861 0.021376085504342 0.000222667557336896 0.00311734580271654 0 0.0109107103095079 0.0057893564907593 0 0.000445335114673792 0 0.000222667557336896 0 0 0.000222667557336896
"MDPE1F514" 0.149409930973057 0 0.270095747049655 0.293921175684703 0.211311511912714 0.0289467824537965 0.0325094633711868 0.000445335114673792 0 0.0057893564907593 0.00111333778668448 0.000890670229347584 0 0.000222667557336896 0.00445335114673792 0 0 0 0.000222667557336896 0 0 0.000668002672010688
"MDPE1F714" 0.186150077933645 0.13560454241817 0.140057893564908 0.330883990202627 0.115564462257849 0.00289467824537965 0.0574482297929192 0.00133600534402138 0.0055666889334224 0.0164773992429303 0.00178134045869517 0.000445335114673792 0 0.00222667557336896 0.000668002672010688 0.00267201068804275 0.000222667557336896 0 0 0 0 0
"MDPE1F914" 0.30126920507682 0.0647962591850367 0.222667557336896 0.228456913827655 0.104208416833667 0.00200400801603206 0.0211534179470051 0.00734802939211757 0.0264974393230906 0.0102427076374972 0 0.000668002672010688 0.000445335114673792 0.000668002672010688 0.00757069694945446 0.000890670229347584 0.000445335114673792 0 0.000222667557336896 0.000222667557336896 0 0.000222667557336896
"MDPE1F715" 0.500779336450679 0.0264974393230906 0.116009797372523 0.14272990425295 0.147183255399688 0.0113560454241817 0.014918726341572 0.0155867290135827 0.00979737252282343 0.00912936985081274 0.000445335114673792 0.00111333778668448 0 0.000668002672010688 0.000445335114673792 0.00222667557336896 0.000668002672010688 0 0 0 0 0.000445335114673792
"MDPE2F515" 0.478289913159653 0.000668002672010688 0.136495212647517 0.221776887107548 0.130928523714095 0.00912936985081274 0.0138053885548876 0.00178134045869517 0 0.00334001336005344 0 0 0 0 0.00200400801603206 0 0 0 0.000222667557336896 0 0 0.00155867290135827
"MDPE2F915" 0.408372300155867 0.0233800935203741 0.12335782676464 0.16789133823202 0.158316633266533 0.00311734580271654 0.0454241816967268 0.010688042752171 0.027833444667112 0.0264974393230906 0.000668002672010688 0.000890670229347584 0 0.00155867290135827 0 0 0.00178134045869517 0.000222667557336896 0 0 0 0
"MDPH1F714" 0.242707637497217 0.00267201068804275 0.128701848140726 0.356713426853707 0.187486083277666 0.00222667557336896 0.0287241148964596 0.0111333778668448 0.00267201068804275 0.00734802939211757 0.00267201068804275 0.00222667557336896 0.000668002672010688 0.021376085504342 0.000668002672010688 0.000222667557336896 0 0.000222667557336896 0.000668002672010688 0.000222667557336896 0 0.000668002672010688
"MDPH1F914" 0.185704742818971 0.00111333778668448 0.175462035181474 0.325539968826542 0.21376085504342 0.00489868626141171 0.0191494099309731 0.00846136717880205 0.0100200400801603 0.0126920507682031 0.00133600534402138 0.0180360721442886 0.00155867290135827 0.0113560454241817 0.00423068358940102 0.000668002672010688 0.00111333778668448 0.000222667557336896 0.00133600534402138 0.00178134045869517 0 0.00155867290135827
"MDPH1F715" 0.328211979514585 0.010688042752171 0.160765976397239 0.235582275662436 0.177466043197506 0.0102427076374972 0.0202627477176575 0.0222667557336896 0.00601202404809619 0.00935203740814963 0.00178134045869517 0.00356268091739034 0.000445335114673792 0.00601202404809619 0.00244934313070586 0 0.000668002672010688 0 0.00244934313070586 0 0 0.00178134045869517
"MDPH2F514" 0.118236472945892 0 0.160543308839902 0.362725450901804 0.230015586729014 0.0610109107103095 0.0467601870407482 0.00133600534402138 0 0.00757069694945446 0.00222667557336896 0.00356268091739034 0 0.000445335114673792 0.00467601870407482 0 0 0 0.000222667557336896 0 0 0.000668002672010688
"MDPH2F515" 0.311957247828991 0.00200400801603206 0.0846136717880205 0.295925183700735 0.229347584057003 0.0178134045869517 0.030060120240481 0.00378534847472723 0 0.00757069694945446 0.00155867290135827 0.00356268091739034 0 0 0.00912936985081274 0 0 0 0.00155867290135827 0 0.000222667557336896 0.000890670229347584
"MDPH2F915" 0.329325317301269 0.0100200400801603 0.138276553106212 0.251837007348029 0.14851926074371 0.000890670229347584 0.0276107771097751 0.0240480961923848 0.0131373858828769 0.0144733912268982 0 0.0102427076374972 0.000222667557336896 0.0262747717657537 0 0 0.000890670229347584 0.00244934313070586 0.000890670229347584 0 0 0.000890670229347584
