"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000019" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000931" "Otu001021" "Otu001345" "Otu001487" "Otu001697" "Otu001799"
"MBRH2F515" 2649706.08701403 7533.68911823647 410047.936292585 1068707.61348697 570407.890380762 23677.3086573146 50583.3412224449 9686.17172344689 1076.24130260521 18296.1021442886 2152.48260521042 9686.17172344689 0 0 4304.96521042084 0 0 2152.48260521042 0 0 0 5381.20651302605
"MBRH2F915" 1138305.0244489 13851.0567134269 320463.084869739 643444.543687375 421827.636272545 0 72403.251002004 83106.3402805611 14480.6502004008 60440.974749499 629.593486973948 8814.30881763527 0 30850.0808617235 16369.4306613226 0 1259.1869739479 0 629.593486973948 0 0 629.593486973948
"MDPE1F514" 659306.856375417 0 1191861.72396927 1296997.09450902 932462.305067468 127734.562338009 143455.739241149 1965.14711289245 0 25546.9124676019 4912.86778223113 3930.2942257849 0 982.573556446226 19651.4711289245 0 0 0 982.573556446226 0 0 2947.72066933868
"MDPE1F714" 1743413.50886395 1270022.52021309 1311730.97736295 3098938.36623425 1082334.46303874 27110.4971474059 538039.097233133 12512.5371449566 52135.5714373191 154321.291454464 16683.3828599421 4170.84571498553 0 20854.2285749276 6256.26857247829 25025.0742899132 2085.42285749276 0 0 0 0 0
"MDPE1F914" 2217601.75983834 476956.476062792 1639025.69093743 1681640.3589018 767064.023358717 14751.2312184369 155707.440639056 54087.8478009352 195044.057221554 75395.1817831218 0 4917.07707281229 3278.05138187486 4917.07707281229 55726.8734918726 6556.10276374972 3278.05138187486 0 1639.02569093743 1639.02569093743 0 1639.02569093743
"MDPE1F715" 3775828.48909308 199788.168164551 874702.820283456 1076169.88061746 1109747.72400646 85623.5006419506 112485.775353151 117522.451861501 73871.2554558005 68834.5789474505 3357.78433890002 8394.46084725006 0 5036.67650835003 3357.78433890002 16788.9216945001 5036.67650835003 0 0 0 0 3357.78433890002
"MDPE2F515" 2915478.66572077 4071.89757782231 832024.405068359 1351869.99583701 798091.925253173 55649.2668969049 84152.5499416611 10858.3935408595 0 20359.4878891116 0 0 0 0 12215.6927334669 0 0 0 1357.29919260744 0 0 9501.09434825206
"MDPE2F915" 2255390.15793454 129125.390721443 681290.156758851 927243.281942552 874363.360028056 17216.7187628591 250872.187687375 59028.7500440882 153720.703239813 146342.109484302 3689.29687775551 4919.06250367401 0 8608.35938142953 0 0 9838.12500734803 1229.7656259185 0 0 0 0
"MDPH1F714" 677861.559643732 7462.69606947228 359453.194012915 996269.925274549 523632.507541305 6218.9133912269 80223.982746827 31094.5669561345 7462.69606947228 20522.4141910488 7462.69606947228 6218.9133912269 1865.67401736807 59701.5685557782 1865.67401736807 621.89133912269 0 621.89133912269 1865.67401736807 621.89133912269 0 1865.67401736807
"MDPH1F914" 621746.510110889 3727.49706301492 587453.537131151 1089920.14122556 715679.436098864 16400.9870772656 64112.9494838566 28328.9776789134 33547.4735671343 42493.4665183701 4472.9964756179 60385.4524208417 5218.49588822089 38020.4700427522 14164.4888394567 2236.49823780895 3727.49706301492 745.499412602984 4472.9964756179 5963.99530082387 0 5218.49588822089
