,score,HNA_mean_abs,HNA_mean_rel
Otu000110,0.17,1.0029895432915035,0.02765287146457111
Otu006940,0.16666666666666666,1.0029895432915041,2.2853315362978878e-05
Otu000038,0.16333333333333333,1.0029895432915017,0.0076691825537984456
Otu005286,0.16333333333333333,1.0029895432915001,1.6208335080051635e-05
Otu000834,0.16333333333333333,1.0029895432915013,0.00020272159212194788
Otu002556,0.16333333333333333,1.0029895432915001,8.22841717811439e-05
Otu000222,0.16333333333333333,1.0029895432915024,0.0018865345831866407
Otu003274,0.16333333333333333,1.002989543291501,4.2551789868093064e-05
Otu001226,0.16,1.0029895432915,0.0001348933494944893
Otu001614,0.16,1.0029895432915035,3.212418294588585e-05
Otu001489,0.16,1.002989543291502,4.255178986809314e-05
Otu000064,0.16,1.0029895432915024,0.0034845918304547713
Otu003083,0.16,1.0029895432915017,0.00010020573849868487
Otu007526,0.16,1.0029895432915024,6.23471410497599e-05
Otu000430,0.15666666666666668,1.0029895432915015,0.0006025973775767939
Otu000220,0.15666666666666668,1.0029895432915026,0.005687168258938251
Otu003147,0.15666666666666668,1.0029895432915001,6.03600301966425e-05
Otu007305,0.15666666666666668,1.0029895432915013,4.5361148594056705e-05
Otu007010,0.15666666666666668,1.0029895432915046,2.285331536297887e-05
Otu000337,0.15666666666666668,1.0029895432915001,0.0004678696749198728
Otu002157,0.15666666666666668,1.0029895432915032,7.864786279063841e-05
Otu000256,0.15666666666666668,1.0029895432915041,0.0024421993942510935
Otu003795,0.15333333333333332,1.0029895432915021,3.21241829458859e-05
Otu008644,0.15333333333333332,1.002989543291503,3.950353922283311e-05
Otu000590,0.15333333333333332,1.0029895432915028,0.0009145309119727959
Otu003181,0.15333333333333332,1.0029895432915048,2.285331536297887e-05
Otu000152,0.15,1.002989543291502,0.002981809295788698
Otu003190,0.15,1.0029895432915015,5.490070522680116e-05
Otu002622,0.15,1.0029895432915,1.6208335080051635e-05
Otu005666,0.14666666666666667,1.0029895432915001,1.6208335080051635e-05
Otu000938,0.14666666666666667,1.0029895432915035,0.0004601329568796477
Otu002163,0.14666666666666667,1.002989543291502,0.00015307364529813428
Otu001464,0.14666666666666667,1.0029895432915035,0.00017994281401717113
Otu002319,0.14333333333333334,1.002989543291503,3.9503539222833097e-05
Otu000792,0.14333333333333334,1.0029895432915037,0.0001817521167959139
Otu000561,0.14333333333333334,1.0029895432915037,2.2853315362978884e-05
Otu002442,0.14333333333333334,1.0029895432915006,0.00013192181781668505
Otu005820,0.14333333333333334,1.002989543291503,3.212418294588586e-05
Otu001688,0.14333333333333334,1.0029895432915041,7.864786279063835e-05
Otu008596,0.14333333333333334,1.002989543291501,7.714332282809798e-05
Otu006267,0.14333333333333334,1.0029895432915032,5.581009553969995e-05
Otu000317,0.14,1.0029895432915032,0.0008360119060914757
Otu002663,0.13666666666666666,1.0029895432915,1.6208335080051635e-05
Otu008466,0.13666666666666666,1.0029895432914986,1.620833508005163e-05
Otu000941,0.13666666666666666,1.0029895432915013,6.559320263791595e-05
Otu002259,0.13666666666666666,1.0029895432915008,8.772500366366391e-05
Otu001713,0.13666666666666666,1.0029895432915015,5.272279743929719e-05
Otu003272,0.13666666666666666,1.0029895432915008,0.0001013297514060159
Otu001847,0.13666666666666666,1.002989543291503,6.424836589177182e-05
Otu000099,0.13666666666666666,1.0029895432915013,0.0021585439440900823
Otu005347,0.13666666666666666,1.0029895432915021,6.234714104975989e-05
Otu002409,0.13666666666666666,1.0029895432915026,7.363780126925975e-05
