"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences" "norep_filter_name" "tot_bacprod" "SD_tot_bacprod"
"38" "M45S2-815" 1906475.879 531427.2257 1375048.653 111100.0044 38254.06618 73432.04047 "Accuri" "Michigan" "M45S2F815" "Summer" "August" 2015 "Free" "MM45" "Surface" 16641 "M45SF815" NA NA
"39" "M45S2-915-2" 1254145.438 270705.2929 983440.1456 32116.20862 748.942889 31389.15116 "Accuri" "Michigan" "M45S2F915" "Fall" "September" 2015 "Free" "MM45" "Surface" 11235 "M45SF915" NA NA
"40" "MBRE2-515" 4326955.645 1739096.624 2587859.02 96174.94375 70451.46776 31361.59022 "Accuri" "Muskegon" "MBRE2F515" "Spring" "May" 2015 "Free" "MBR" "Surface" 27722 "MBREF515" 29.34 10.78
"41" "MBRE1-714" 10104066.02 2724102.309 7379963.708 55102.70702 57003.28631 57715.92212 "Accuri" "Muskegon" "MBRE1F714" "Summer" "July" 2014 "Free" "MBR" "Surface" 33038 "MBREF714" 33.86 1.3
"42" "MBRE1-715" 7420898.66 1343201.649 6077697.011 70408.32397 44613.63427 31710.76589 "Accuri" "Muskegon" "MBRE1F715" "Summer" "July" 2015 "Free" "MBR" "Surface" 17500 "MBREF715" 11.87 2.15
"43" "MBRE1-914" 7206482.849 1928396.847 5278086.001 65178.67628 42404.03364 54019.70631 "Accuri" "Muskegon" "MBRE1F914" "Fall" "September" 2014 "Free" "MBR" "Surface" 24538 "MBREF914" 24.72 0.36
"44" "MBRE2-915" 4895227.607 1264623.909 3630603.698 22853.2975 16800.30478 14092.63546 "Accuri" "Muskegon" "MBRE2F915" "Fall" "September" 2015 "Free" "MBR" "Surface" 21845 "MBREF915" 22.23 0.83
"45" "MBRH2-515" 4833399.69 1293993.211 3539406.478 91211.46532 32424.67127 81882.52541 "Accuri" "Muskegon" "MBRH2F515" "Spring" "May" 2015 "Free" "MBR" "Deep" 25679 "MBRHF515" NA NA
"46" "MBRH1-714" 2684665.697 789217.8887 1895447.808 32638.65877 17560.30872 15815.54391 "Accuri" "Muskegon" "MBRH1F714" "Summer" "July" 2014 "Free" "MBR" "Deep" 33604 "MBRHF714" NA NA
"47" "MRBH1-715" 2309541.701 604995.6189 1704546.082 41215.00266 15906.78581 27678.13169 "Accuri" "Muskegon" "MBRH1F715" "Summer" "July" 2015 "Free" "MBR" "Deep" 17040 "MBRHF715" NA NA
