"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth"
"MLBD2-115-2" 6482.022854 1890.290748 4591.732107 89.23977051 22.33885241 69.39564857 "Accuri" "Michigan" "MLBD2F115" "Winter" "Januari" 2015 "Free" "MLB" "Deep"
"MLBD2-415-2" 1797.394891 653.6923324 1143.702558 29.84439935 9.185359313 20.66406311 "Accuri" "Michigan" "MLBD2F415" "Spring" "April" 2015 "Free" "MLB" "Deep"
"MLBD2-515-DMSO" 6467.748792 3173.102145 3294.646647 32.45626965 20.68766112 31.33691747 "Accuri" "Michigan" "MLBD2F515" "Spring" "May" 2015 "Free" "MLB" "Deep"
"MLBD2-715-2" 5956.478687 1821.746766 4134.73192 106.5176617 53.3310452 57.96003281 "Accuri" "Michigan" "MLBD2F715" "Summer" "July" 2015 "Free" "MLB" "Deep"
"MLBD2-815" 6064.997413 1512.762531 4552.234883 58.61818356 19.06687647 39.58909653 "Accuri" "Michigan" "MLBD2F815" "Summer" "August" 2015 "Free" "MLB" "Deep"
"MLB-915-2" 8170.354898 2090.056767 6080.298131 179.6932682 62.61017547 130.0846144 "Accuri" "Michigan" "MLBD2F915" "Fall" "September" 2015 "Free" "MLB" "Deep"
"MLBS2-115-2" 6389.492958 1830.444778 4559.04818 59.49573606 25.93134924 49.63576262 "Accuri" "Michigan" "MLBS2F115" "Winter" "Januari" 2015 "Free" "MLB" "Surface"
"MLBS2-515-DMSO" 1216.693415 321.5172723 895.1761424 49.53633707 12.21342978 37.80531421 "Accuri" "Michigan" "MLBS2F515" "Spring" "May" 2015 "Free" "MLB" "Surface"
"MLBS2-715-2" 10142.17419 3445.974731 6696.199461 159.4129541 92.2137058 72.23188882 "Accuri" "Michigan" "MLBS2F715" "Summer" "July" 2015 "Free" "MLB" "Surface"
"MLBS2-815" 7529.90863 1993.119508 5536.789122 204.8309089 81.78053718 125.8636094 "Accuri" "Michigan" "MLBS2F815" "Summer" "August" 2015 "Free" "MLB" "Surface"
"MLBS2-915-2" 9430.611393 2727.215881 6703.395513 335.5326351 151.8428875 186.9420122 "Accuri" "Michigan" "MLBS2F915" "Fall" "September" 2015 "Free" "MLB" "Surface"
"MUSOUTE1-epi-outlet-514" 4581.945151 2396.938763 2185.006388 81.91760544 63.99862508 41.87087066 "Accuri" "Muskegon" "MOTE1F514" "Spring" "May" 2014 "Free" "MOT" "Surface"
"MOTE1-714" 10680.40905 3336.428292 7343.980758 88.64811552 34.6789324 53.97315993 "Accuri" "Muskegon" "MOTE1F714" "Summer" "July" 2014 "Free" "MOT" "Surface"
"MOTE1-914" 7020.677316 1981.122045 5039.555271 264.49042 107.8373466 157.4050115 "Accuri" "Muskegon" "MOTE1F914" "Fall" "September" 2014 "Free" "MOT" "Surface"
"MOTE1-715" 7446.699551 1692.62359 5754.075961 129.6236689 22.07782787 121.1186596 "Accuri" "Muskegon" "MOTE1F715" "Summer" "July" 2015 "Free" "MOT" "Surface"
"MOTE2-515" 6112.362087 2251.85371 3860.508377 51.24308533 37.62401909 15.30744674 "Accuri" "Muskegon" "MOTE2F515" "Spring" "May" 2015 "Free" "MOT" "Surface"
"MOTE2-915" 5694.244407 1401.867377 4292.37703 37.34201837 21.23727162 31.34113583 "Accuri" "Muskegon" "MOTE2F915" "Fall" "September" 2015 "Free" "MOT" "Surface"
"MOTH1-714" 4961.20452 1256.1464 3705.05812 135.6958361 40.8640981 96.8178741 "Accuri" "Muskegon" "MOTH1F714" "Summer" "July" 2014 "Free" "MOT" "Deep"
"MOTH1-914" 7050.809616 1979.421196 5071.38842 39.53172207 25.55083738 14.298714 "Accuri" "Muskegon" "MOTH1F914" "Fall" "September" 2014 "Free" "MOT" "Deep"
"MOTH1-715" 3892.023742 776.630043 3115.393699 49.20228605 14.56909978 34.67839291 "Accuri" "Muskegon" "MOTH1F715" "Summer" "July" 2015 "Free" "MOT" "Deep"
"MOTH-915" 5739.777743 1423.389477 4316.388267 85.4958437 36.25716463 64.4432639 "Accuri" "Muskegon" "MOTH1F915" "Fall" "September" 2015 "Free" "MOT" "Deep"
"MUSOUTH-hypo-outlet-514" 2495.231206 1090.2464 1404.984806 24.5467082 18.706108 8.51154267 "Accuri" "Muskegon" "MOTH2F514" "Spring" "May" 2014 "Free" "MOT" "Deep"
"MOTH2-515" 4166.163566 1406.325993 2759.837573 78.43377157 27.8786762 58.13328594 "Accuri" "Muskegon" "MOTH2F515" "Spring" "May" 2015 "Free" "MOT" "Deep"
"Muskegon_April" 3676.467696 1882.609241 1793.858455 37.19723022 17.20351665 20.13901762 "Accuri" "Michigan" "Sp13.BD.MLB.SN.1" "Spring" "April" 2013 "Free" "MLB" "Surface"
"MM110-S-D_April" 1233.601825 332.7298451 900.87198 214.9506786 56.13015509 158.9126691 "Accuri" "Michigan" "Sp13.BD.MM110.SD.1" "Spring" "April" 2013 "Free" "MM110" "Surface"
"MM110-S-N_April" 1758.473265 408.4817023 1349.991562 64.09028468 22.05893255 44.73269263 "Accuri" "Michigan" "Sp13.BD.MM110.SN.1" "Spring" "April" 2013 "Free" "MM110" "Surface"
"MM15-D-D_April" 3019.94742 1329.590729 1690.356691 35.08179388 25.81855921 25.52535229 "Accuri" "Michigan" "Sp13.BD.MM15.DD.1" "Spring" "April" 2013 "Free" "MM15" "Deep"
"MM15-S-D_April" 2713.212175 1072.190979 1641.021197 50.10903403 37.49264308 23.42443841 "Accuri" "Michigan" "Sp13.BD.MM15.SD.1" "Spring" "April" 2013 "Free" "MM15" "Surface"
"MM15-S-N_April" 2757.128082 1168.97921 1588.148872 24.02256792 2.626909072 24.4704298 "Accuri" "Michigan" "Sp13.BD.MM15.SN.1" "Spring" "April" 2013 "Free" "MM15" "Surface"
"MLB-D-D_July" 7578.896999 1894.802069 5684.09493 111.1018826 64.95166827 52.53774464 "Accuri" "Michigan" "Su13.BD.MLB.DD.1" "Summer" "July" 2013 "Free" "MLB" "Deep"
"MLB40y-S-D_July" 13328.6248 4082.957132 9245.667665 277.5605158 132.1413781 150.7499014 "Accuri" "Michigan" "Su13.BD.MLB.SD.1" "Summer" "July" 2013 "Free" "MLB" "Surface"
"MM110-DCMD_July" 1895.526594 742.792257 1152.734337 51.736376 28.96735582 22.88576472 "Accuri" "Michigan" "Su13.BD.MM110.DCMD.1" "Summer" "July" 2013 "Free" "MM110" "Deep"
"MM110-D-N_July" 470.7242112 131.1282349 339.5959763 3.351046423 3.548679604 1.563658299 "Accuri" "Michigan" "Su13.BD.MM110.DN.1" "Summer" "July" 2013 "Free" "MM110" "Deep"
