,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,r_spearman,p_spearman
Otu000108,0.44,17049.5712846441,2.4002580572809262,0.002220026980232176,2.1095695966569195,0.6693541641541664,3.476201117313625e-23
Otu000154,0.43333333333333335,4420.233667803365,1.4238080224306024,0.0015123269919165242,2.4765109378056174,-0.040678874870723726,0.6005994178799529
Otu000216,0.43,8549.311585777623,3.381402163129582,0.001783191527782178,3.000844507877044,-0.15055414774453266,0.05142056174938518
Otu000087,0.42333333333333334,1876.7368012961665,2.176853449725312,0.000772760587616695,2.170016907927497,-0.46169828532880786,2.9931695823980873e-10
Otu000459,0.42,1586.1525176101782,4.7251033431882545,0.0002708645358656417,4.728792418426706,0.2336799989441195,0.0022995090594604673
Otu001276,0.42,559.6919924317266,2.569353887842277,8.630487662384883e-05,2.189570159231246,0.30082276413445197,7.427158085574144e-05
Otu000017,0.42,49477.5776274407,1.2395931541673793,0.015765909308180084,1.1786319989692997,-0.573672568059031,4.365482232919848e-16
Otu000139,0.4166666666666667,12374.870878969228,1.6612755437619897,0.002166916286925177,1.3616739239263793,0.15544759034677175,0.044216168191911015
Otu000355,0.41,5335.834832174193,2.4582344623575367,0.0007223054289750558,2.3216838948438614,0.5373031595592326,5.963636629588529e-14
Otu000215,0.41,1091.261452468319,3.0465150225992046,0.0007953326322721739,2.967020222005927,-0.65066599271204,1.3462523061917225e-21
Otu000221,0.4066666666666667,1843.807131357482,4.7831823419439035,0.0003863802938083469,4.645474525141371,0.05434226842830275,0.48416794871164115
Otu000273,0.4,1732.6170426642184,2.310815770889541,0.0006333450176858453,2.343644811123634,-0.5615187667055441,2.4142087204074195e-15
Otu000137,0.4,2955.2923274004706,2.053428680096322,0.0015787153585502668,2.6670284758472733,-0.4939133459399268,1.0223021144529055e-11
Otu000257,0.39666666666666667,1319.041264416897,2.556291026221107,0.00021775384255864823,2.3647158561221806,0.3397597296453578,6.616103117059377e-06
Otu000406,0.39666666666666667,996.9920675886679,3.2646072470747,0.00014738217392689046,2.7657510930738134,0.2864218188948492,0.00016728286975607848
Otu000256,0.38666666666666666,933.5877543857487,3.372493872767892,0.0007435497062978564,3.761449586796604,-0.5288919443816675,1.7128568893513138e-13
Otu000027,0.38666666666666666,26795.12619831612,1.3059632058338602,0.009485569824628474,1.1650634246861278,-0.7369628187706566,4.8492441295162894e-30
Otu000311,0.38666666666666666,838.4457125200494,2.561468509612889,0.00013012119860211609,2.477615785970854,0.3108045552714221,4.12382116371161e-05
Otu000284,0.38666666666666666,10978.128932844182,3.276368980217749,0.0013184729613460258,2.958637705899832,0.5051468032805575,2.891696182318634e-12
Otu000226,0.37,4615.444367184758,1.7696462962597168,0.0013304228673400836,2.903625288698799,-0.08762469412082954,0.25871218053521994
Otu000103,0.36666666666666664,11066.067144840572,1.914852677915946,0.0035305333375821755,1.6004606340294463,-0.5415424983663153,3.465028056745799e-14
Otu000421,0.36,1326.6560474836156,3.0242483245458405,0.00017128198591503574,2.7597926677781004,0.43579744758862526,3.543083142572174e-09
Otu000119,0.36,12779.632230991681,2.224125088939171,0.0017048532551543756,1.9342475538424901,0.5332060739591393,1.0006666059975232e-13
Otu000851,0.3433333333333333,1637.2613302847808,3.4241872542743015,0.00020978723856260114,3.179674947444631,0.4821829933240131,3.6420890847628755e-11
Otu001084,0.3433333333333333,631.2628591497772,2.398889153395057,0.00011286022327734168,2.1302291472700654,0.16943008634210344,0.028122903482526586
Otu000644,0.3433333333333333,1005.1962968662034,3.6664293281947793,0.00015667654525561249,3.075182891391844,0.16247530338157012,0.03536101389827446
Otu000420,0.3433333333333333,2125.289434802508,3.6328262901374724,0.00033858066983205603,3.6372024205288027,0.26183576914873463,0.0006070306825818047
Otu000265,0.34,3377.4229044420463,3.099948082339251,0.0012215459460607652,3.8907887501870335,-0.0995448188866455,0.19920970155252823
