,Boruta HNA,Boruta LNA,Boruta ranking
55,0.49876292840997216,0.4227265074784715,78
56,0.4987624582163812,0.41558276181484544,79
57,0.4987624582163812,0.3766962340631158,81
58,0.4987624582163812,0.37669399448585794,82
59,0.4987624582163812,0.37669399448585805,83
60,0.49876272534710486,0.37669468861745914,84
61,0.4987631215379077,0.3941567305327275,86
62,0.4979495760612175,0.38909803728271164,87
63,0.48509921003646583,0.3890968924713176,89
64,0.49188980555698425,0.3572877544817149,90
65,0.49188980555698425,0.3910991263671849,92
66,0.5157863961836906,0.3445856588209576,94
67,0.5157863961836906,0.3373399947095691,96
68,0.5157863961836906,0.33734026355438673,97
69,0.4859392510287265,0.31718783465535116,98
70,0.5019557227770102,0.3126046054640318,101
71,0.4926400800952515,0.3033812320953221,104
72,0.5205140049678367,0.3026024828948436,106
73,0.46996624816016774,0.2356090592691541,107
74,0.47586259722939916,0.20088118982466852,109
75,0.4782912961533651,0.20088124622195513,110
76,0.46183356298008504,0.19903307091043376,111
77,0.48534804053819014,0.32073454908982324,113
78,0.48534805592995256,0.31755356570237436,114
79,0.48534810715988286,0.30572816860837504,115
80,0.48534811849807413,0.3057154557768018,116
81,0.4853481132763363,0.27727988729856423,118
82,0.49295543545440657,0.21348215601248377,120
83,0.5012160260094678,0.2236718223288272,123
84,0.4967397488681008,0.1827896526665863,126
85,0.4955531030511878,0.15206818267833067,128
86,0.5206763396023103,0.1506744072292474,130
87,0.504665297207046,0.1506828684282121,132
88,0.4959238636298062,0.14975032087423157,134
89,0.4959267416653753,0.14976097652359155,135
90,0.5091704537198392,0.2285401501001939,136
91,0.5119740307020528,0.2285366468324156,138
92,0.4894105052182549,0.24465427795942352,140
93,0.4894895090657121,0.24468600871165724,143
94,0.4894895090657121,0.24468625008628409,144
95,0.48949103393350957,0.24468244564046915,145
96,0.49076202298689375,0.16965600265019165,149
97,0.49075810178691504,0.3009344212082804,152
98,0.4907581017869149,0.3009487075544929,154
99,0.4907581017869149,0.2535284567227515,155
100,0.5021716452558125,0.25355280103433664,157
101,0.4878668355893936,0.24420427021075553,159
102,0.47476119369481296,0.37727960710331165,161
103,0.47632074959426596,0.3680182899347151,163
104,0.41970302761984435,0.3545117677751626,165
105,0.41992949833399884,0.3886459551283372,167
106,0.4258593210537357,0.40198960386436167,169
107,0.4058188164033002,0.3538808277899288,173
108,0.4774829752953348,0.3504609577994082,175
109,0.4774828109960625,0.3472671880316198,176
110,0.47748284558821297,0.34600322837434383,178
111,0.4750674834565285,0.3462449669100294,179
112,0.47103385593063096,0.2964291794759105,181
113,0.48040694257559036,0.2711313113172268,183
114,0.3997388338721205,0.26331964337399183,185
115,0.4742971648908436,0.2588874272361219,187
116,0.3324288645398309,0.2278082030935813,188
117,0.48520163768404023,0.16202409791315564,190
118,0.48520163768404023,0.15242351917176533,191
119,0.4852074432351966,0.15156805521704775,193
120,0.4852074432351966,0.1445011471604477,196
121,0.4852074457502824,0.14446848001717372,199
122,0.4852074457502824,0.14447911450920514,201
123,0.4852066076779262,0.1444607341895614,202
124,0.37262912569157325,0.1444578795850493,203
125,0.371552014060219,0.15325189286259278,204
126,0.37072417021376236,0.15325189286259278,205
127,0.4108448688187938,0.1680714700071393,206
128,0.3996963334654001,0.14576056019054484,207
