,RL HNA,RL LNA,RL ranking
75,0.6141675274554714,0.20385950468837488,121.0
76,0.6721310988679488,0.26240468657175187,122.0
77,0.6510071548524643,0.23218176595091466,126.0
78,0.6171758592904477,0.2026305295793741,128.0
79,0.5807427731599757,0.362016299068289,130.0
80,0.5756582997384138,0.34818082814501683,135.0
81,0.592999548168532,0.34204073450554395,138.0
82,0.5630030526019082,0.34015314902860916,141.0
83,0.5574145200968085,0.33023175422037665,143.0
84,0.5619380233437032,0.30040257613418164,145.0
85,0.5406504264990075,0.3145671538799708,147.0
86,0.5408185933018936,0.31457738521188416,151.0
87,0.5151910755497613,0.3291016708651706,152.0
88,0.5268272863376215,0.2774558786000766,155.0
89,0.5134790620358631,0.29273955053645884,159.0
90,0.518194937680435,0.30505689102865974,161.0
91,0.5188380835891296,0.30506093251041055,165.0
92,0.5238447949512259,0.30506081668236795,166.0
93,0.5029174432354704,0.3056746458848141,167.0
94,0.5031720881318837,0.31413444622666753,171.0
95,0.4982910476998921,0.31413820556295724,174.0
96,0.47670245592735006,0.3080613486078788,175.0
97,0.46892298532452725,0.3001378680935235,176.0
98,0.4520004998622148,0.2606220238410385,178.0
99,0.4490591037254362,0.2649600350401816,180.0
100,0.4490609767913968,0.26497057079252184,182.0
101,0.4530209488087923,0.25393737411728345,183.0
102,0.44568619641824747,0.253925499078946,184.0
103,0.44666071950328967,0.25335571128483636,185.0
104,0.41089168420267674,0.2512479918218017,188.0
105,0.41648428031815077,0.251832777865615,191.0
106,0.4073948672370251,0.25188627460535173,193.0
107,0.3960076525461439,0.25174819483452504,195.0
108,0.3989340203559908,0.17968975221457528,198.0
109,0.39417940310289246,0.16480664741096185,200.0
110,0.3922351791703357,0.1648088992933665,205.0
111,0.39323765118395637,0.16480906747955015,207.0
112,0.3939322209431452,0.16480915956473308,208.0
113,0.3919957238485624,0.21491127146641198,210.0
114,0.39541174587694106,0.21490822975754165,212.0
115,0.39854516286734376,0.14575644514062003,214.0
