"Otu000001" "Otu000009" "Otu000012" "Otu000022" "Otu000023" "Otu000030" "Otu000056" "Otu000077" "Otu000082" "Otu000093" "Otu000136" "Otu000227" "Otu000387" "Otu000775" "Otu001028" "Otu002522"
"M15S2F915" 0.4117749825297 0.102026554856744 0.214011180992313 0.142208245981831 0.000349406009783368 0.0700559049615653 0.003319357092942 0.0136268343815514 0 0.0169461914744934 0.0256813417190776 0 0 0 0 0
"M45D2F115" 0.53738644304682 0.0978336827393431 0.126659678546471 0.142557651991614 0.00174703004891684 0.0230607966457023 0.0448986722571628 0.0146750524109015 0 0.00559049615653389 0.00541579315164221 0 0.000174703004891684 0 0 0
"M45D2F415" 0.44811320754717 0.144479385045423 0.0784416491963662 0.248252969951083 0.000349406009783368 0.00157232704402516 0.0468204053109713 0.0216631726065688 0 0.00873515024458421 0.000698812019566737 0.000349406009783368 0 0.000349406009783368 0 0.000174703004891684
"M45D2F515" 0.403738644304682 0.20440251572327 0.0590496156533892 0.263626834381551 0.000174703004891684 0.0010482180293501 0.0321453529000699 0.020440251572327 0.000524109014675052 0.0118798043326345 0.00209643605870021 0.000524109014675052 0 0.000349406009783368 0 0
"M45D2F715" 0.386792452830189 0.132075471698113 0.0826345213137666 0.191998602375961 0.000174703004891684 0.00506638714185884 0.0576519916142558 0.0870020964360587 0 0.056429070580014 0.000174703004891684 0 0 0 0 0
"M45D2F815" 0.355695317959469 0.190950384346611 0.112858141160028 0.205974842767296 0.0010482180293501 0.00716282320055905 0.0494409503843466 0.0386093640810622 0 0.03319357092942 0.00401816911250874 0.000349406009783368 0 0.000174703004891684 0.000524109014675052 0
"M45D2F915" 0.382075471698113 0.140111809923131 0.117924528301887 0.192522711390636 0.000698812019566737 0.00751222921034242 0.0759958071278826 0.0676100628930818 0 0.0124039133473096 0.00296995108315863 0 0 0.000174703004891684 0 0
"M45S2F415" 0.425576519916143 0.18675751222921 0.0513626834381551 0.259259259259259 0.000174703004891684 0.000698812019566737 0.03319357092942 0.0269042627533194 0.000174703004891684 0.0129280223619846 0.00122292103424179 0.000349406009783368 0 0.000524109014675052 0 0.000873515024458421
"M45S2F515" 0.440600978336827 0.324772886093641 0.0534591194968553 0.132599580712788 0.00122292103424179 0.00192173305380853 0.013277428371768 0.0118798043326345 0 0.0139762403913347 0.00593990216631726 0.000349406009783368 0 0 0 0
"M45S2F715" 0.401118099231307 0.154088050314465 0.108665269042628 0.166666666666667 0.00209643605870021 0.0485674353598882 0.00908455625436757 0.0443745632424878 0.000174703004891684 0.0607966457023061 0.00401816911250874 0 0.000349406009783368 0 0 0
