"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"Z14035F" 184 0.466036260972313 0.471430031366097 0.0121567836852038 347 -0.443683998453351 0.347 999
"Z14036F" 190 0.545605355050624 0.548253719012989 0.00984714112278083 380 -0.268947497486187 0.38 999
"Z14037F" 193 0.565062269011507 0.564834732745082 0.00875484221104202 522 0.0259897621156106 0.522 999
"Z14038F" 200 0.550943407760121 0.552323670238196 0.00851561944212521 376 -0.162085974773208 0.376 999
"Z14039F" 202 0.536829828640072 0.538538927050496 0.00851284097152733 427 -0.200767101857095 0.427 999
"Z14040F" 209 0.564218996281538 0.564775875073771 0.00653165705933255 435 -0.0852584248030352 0.435 999
"Z14041F" 200 0.567372920435189 0.567148572522196 0.0101482227122367 543 0.0221071136645882 0.543 999
"Z14042F" 206 0.562400298523846 0.562486823828076 0.00743200615543361 465 -0.0116422541128783 0.465 999
"Z14043F" 212 0.551972852820099 0.553521564552385 0.00988903678988497 277 -0.156608956483011 0.277 999
"Z14044F" 196 0.558233297501967 0.558659751905999 0.00791858998110231 484 -0.0538548409565976 0.484 999
"Z14045F" 212 0.635651617558965 0.628066128501366 0.0312451241716651 477 0.242773528948825 0.477 999
"Z14046F" 195 0.645808292971256 0.635433594283142 0.0388523253265267 437 0.26702902853104 0.437 999
"Z14047F" 176 0.492135572177919 0.497456153726041 0.00870232957874286 166 -0.611397385031084 0.166 999
"Z14048F" 202 0.570836106668914 0.567518162677255 0.0193671452747759 414 0.171318175424685 0.414 999
"Z14050F" 218 0.54880570767928 0.548937802698991 0.0115285795146006 522 -0.0114580481961221 0.522 999
"Z14053F" 208 0.499366647714525 0.500189150432407 0.00992214406877109 482 -0.0828956636973475 0.482 999
"Z14057F" 235 0.536983073723028 0.537750537127976 0.0096741379406979 484 -0.079331451510421 0.484 999
"Z14059F" 215 0.468596462589556 0.477308109777147 0.0182041276127201 307 -0.47855340134529 0.307 999
