,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000136,13.905402352848354,0.00042829858735883624,-0.3178212585933369,0.00026170671672855417,yes,0.038,247.0,0.0003569085238164293,127
Otu000597,5.759441377884254,0.01952095230567413,0.18244315177154946,0.036121399143357685,yes,0.224,20.0,0.0005768877690665237,128
Otu000194,0.2720527498422012,0.6038781933832227,-0.1475409836065574,0.09013826416642948,no,0.034,267.0,0.00046839032918349633,129
Otu000619,2.062733096210653,0.15613290537093594,0.09042834479111583,0.2989591754770423,no,0.194,25.0,0.0005734531967555139,130
Otu000763,1.5106078371294824,0.22384487688072247,0.10735060814383926,0.2175613624394399,no,0.022,330.0,0.00045923960125025673,131
Otu001365,5.445713280640937e-07,0.9994136486491622,-0.06927551560021153,0.4262036864356893,no,0.026,308.0,0.0004152444045696923,132
Otu000105,5.970110940174543,0.017509427678421757,-0.14436805922792176,0.09727219632180939,no,0.11,75.0,0.0007332463676491419,133
Otu000496,0.04392218489631318,0.8347084377510101,0.019566367001586465,0.8221807467648387,no,0.072,153.0,0.00033510055279865956,134
Otu000249,4.635294913755344,0.03535095854320066,-0.1782125859333686,0.04066146605410904,yes,0.046,213.0,0.0004302646052476972,135
Otu000203,0.4173550824383199,0.5207230960238253,0.10312004230565838,0.23623658084798216,no,0.016,365.0,0.0003312477818399224,136
Otu000030,0.0007418573967577936,0.9783610486220957,-0.03437334743521946,0.692979190799845,no,0.016,365.0,0.0005317914946084408,137
Otu000888,7.465238877808497,0.008250576217807679,0.22792173453199369,0.008846514526183548,yes,0.086,116.0,0.00031463379989703515,138
Otu000195,1.7749992938266157,0.18780283694644026,-0.0586991010047594,0.5001694995772945,no,0.108,80.0,0.0005083540034119269,138
Otu000434,0.0008116909551717904,0.9773657446892261,0.02273929138022211,0.7939494465711545,no,0.096,98.0,0.00028321278446272413,140
Otu000660,3.8471024005324987,0.054477196531071644,0.11686938127974619,0.1794753846620406,no,0.148,40.0,0.000290276140029394,140
Otu000172,0.5116681354047262,0.4771919912694206,0.05129561078794289,0.5557365525081721,no,0.004,480.0,0.0005431107267733974,142
Otu000554,0.07834918631259617,0.7805098822967316,-0.053410893707033315,0.5395575090748532,no,0.09,110.0,0.0003928480916659197,143
Otu001067,15.838978086743055,0.00018856715744615724,-0.28714965626652567,0.0009729764642074238,yes,0.018,352.0,0.0004784967339079782,144
Otu001087,7.54071765241484,0.00794955193053134,-0.1983077736647277,0.02273964862980675,yes,0.228,16.0,0.00026775673285383243,145
Otu000329,0.022812766936037454,0.8804516497676433,0.010047593865679535,0.9081220918271574,no,0.016,365.0,0.00037179779771354804,146
