,f_regr_HNA,p-value_HNA,kendall_HNA,p_kendall_HNA,kendall significant HNA,f_regr_LNA,p-value_LNA,kendall_LNA,p_kendall_LNA,kendall significant LNA,f_regr_TCC,p-value_TCC,kendall_TCC,p_kendall_TCC,kendall significant TCC,RL score,RL ranking,Boruta score,Boruta ranking
Otu001120,0.1279552310328107,0.721816908451665,0.031200423056583822,0.7200658218006414,no,0.23923607663032082,0.6265416925277333,-0.06398730830248546,0.46236148255917053,no,0.23302393076004918,0.6310472701008083,-0.043892120571126396,0.6141568248194942,no,0.036,280.0,5.326855941634655e-05,282
Otu000036,0.005209077393587207,0.9427035380070046,0.02379693283976732,0.7845967275754077,no,1.4947634867277022,0.22625971928653787,-0.0671602326811211,0.44046490565728946,no,0.7459962726759283,0.39118648267077527,-0.03860391327340032,0.6574706719780812,no,0.0,461.0,4.732062516640456e-05,282
Otu000079,2.503775542100953,0.11883122467798225,0.15917503966155475,0.06750474728448311,no,6.477804647549609,0.01351202931621513,-0.19619249074563724,0.024228626912034947,yes,1.5476086311487243,0.21832703832501404,-0.07879428873611846,0.365445157668264,no,0.004,440.0,0.00016594734482100297,282
Otu000449,3.9507213929051064,0.051420798918641986,0.06821787414066632,0.43330035939248523,no,4.931539875695755,0.030157939788525115,-0.06081438392384982,0.48485242655453675,no,5.440457980947056,0.02304823859865164,-0.03437334743521946,0.692979190799845,no,0.13,54.0,4.245814598801192e-05,282
Otu001183,1.598753590351138,0.2109696292179425,0.07879428873611846,0.365445157668264,no,1.5384110567785174,0.2196830165521708,-0.13061872025383398,0.13353717534856532,no,0.21304872301273303,0.6460573748162011,-0.07879428873611846,0.365445157668264,no,0.116,72.0,0.00017844898301208934,282
Otu000143,0.7438813333730484,0.39185466272122504,0.05658381808566896,0.5157395376134755,no,0.153688881417524,0.6964238297287688,-0.09360126916975146,0.28232437455827164,no,0.0001575275095986205,0.9900276572606135,-0.031200423056583822,0.7200658218006414,no,0.024,334.0,0.0005574940302796125,282
Otu000418,3.222713567100171,0.07765984250260631,0.1570597567424643,0.07123094798065756,no,6.624385434403804,0.012547049172992788,-0.12427287149656269,0.15346197500666528,no,1.4180050626384195,0.23842183938875178,-0.04706504494976203,0.5887879515824399,no,0.104,80.0,0.00016924645310935831,282
Otu000019,0.17589255344498417,0.6764249673130335,0.09254362771020626,0.28779813580320124,no,8.718982844692245,0.004490324294737327,-0.19936541512427292,0.0220254425122031,yes,3.7242620766271335,0.05835904078117939,-0.12427287149656269,0.15346197500666528,no,0.0,461.0,0.0001822495736501484,282
Otu000900,0.37653698408431086,0.5417819081714562,-0.09148598625066104,0.29334303753664936,no,0.48982976920032606,0.4867080631652517,-0.049180327868852465,0.5721488539170445,no,0.08810061725189738,0.7676309669101968,-0.08408249603384454,0.33415477699110885,no,0.056,193.0,9.906065204125842e-05,282
Otu000081,0.13308385658396932,0.7165384912717423,0.02062400846113168,0.8127427567946938,no,0.8500383893873746,0.36023405147522636,-0.11686938127974619,0.1794753846620406,no,0.29598796178650016,0.5884247026238351,-0.08408249603384454,0.33415477699110885,no,0.076,129.0,8.536204276373734e-05,282
Otu000096,0.8504169296942132,0.3601278670256095,0.02379693283976732,0.7845967275754077,no,0.39563824670423764,0.5317380345247482,-0.06927551560021153,0.4262036864356893,no,0.6116329722966458,0.43724914601270004,-0.05764145954521418,0.5079232117171629,no,0.016,377.0,7.951087540770053e-05,282
Otu000099,1.3011919027946979,0.2585283732417661,-0.036488630354309895,0.675134541926981,no,22.752656124223723,1.2179636041961963e-05,-0.27974616604970914,0.0013126975605401493,yes,13.960354278727667,0.0004182722937041183,-0.22792173453199369,0.008846514526183548,yes,0.03,306.0,9.222171063325914e-05,282
Otu001476,3.665434934903264,0.06032393021050162,-0.1538868323638287,0.07713485828481995,no,1.5401404382567911,0.21942727649894705,-0.18773135906927554,0.03106032271198976,yes,2.4855068536488085,0.1201577504334894,-0.2057112638815442,0.018136583107215016,yes,0.096,91.0,0.000498122247073685,282
Otu000339,1.4102258981896183,0.23969894018353338,-0.09783183500793233,0.26113813937746155,no,0.13591641685530712,0.7136725643169617,-0.019566367001586465,0.8221807467648387,no,0.019614938559231732,0.8890869418130183,-0.07139079851930197,0.4122155138155018,no,0.028,314.0,0.00018267365249115096,282
Otu000087,0.25215142926296313,0.617402156069637,-0.043892120571126396,0.6141568248194942,no,0.2506012935566512,0.61848341371238,-0.03966155473294554,0.6487091932544818,no,0.29334169426514967,0.5900926358730177,-0.07456372289793761,0.391751388867732,no,0.04,267.0,0.00044427658119691033,282
