Samples,Total.cells,HNA.cells,LNA.cells,sd.Total.cells,sd.HNA.cells,sd.LNA.cells
M45S2-915-2,1265.6460301379,302.018022020444,963.694520475449,33.420619713784,3.23575027568316,30.749140198061
MBRE1-714,10142.0143509865,3110.9590771206,7031.58692456873,53.9087898206213,43.1035019534292,39.986917412078
MBRE1-715,7452.86648950561,1576.03710106965,5876.9626018772,65.0050502016787,45.1976448141461,30.8693947259401
MBRE1-914,7225.27025068139,2161.48877766361,5063.98132251785,63.2530453439697,39.8033267058722,52.8233405346885
MBRE2-515,4376.78618121061,2004.08478290143,2373.03398483128,96.2420139569809,72.1524555645658,31.3505510918287
MBRE2-915,4906.06869183207,1404.11236441317,3501.9563274189,21.4733294120128,19.739231472694,19.3054859659467
MBRH1-714,2695.50135144924,869.931051239586,1825.57030020965,28.7291669696081,11.2482549304033,19.2007677581722
MBRH1-914,3493.03574788112,1100.54418365243,2392.49156422868,21.6712923430981,14.242169975038,9.90145243924851
MBRH2-515,4846.97713757035,1504.72262379951,3342.45406677212,93.0138487632432,33.8069520868844,78.0805703469544
MBRH2-915,2841.06816209326,943.284460915811,1897.91668609031,122.254071595678,56.2579008077791,65.9530926227945
MDPE1-714,9400.80339526925,3352.51738623769,6048.75012162744,101.165568131965,44.5938574168333,57.9973470247006
MDPE1-715,7569.11509614346,1962.24985551096,5607.19797904727,49.4433446556757,45.2509203105682,38.9543372481762
MDPE1-914,7377.30486331753,2309.49045953509,5067.94752813076,145.705288757022,76.7479698682429,70.9748676103865
MDPE2-515,6112.04774069714,2434.80469867168,3677.30942457482,104.966670567538,52.0551993917166,57.4513558473305
MDPE2-915,5536.00295573901,1503.142529857,4033.06030330705,56.6848458593608,33.7306382952984,23.9939018712641
MDPH1-714,2802.88548628502,924.505848679554,1878.51251791717,27.3937419807096,14.3762645707564,13.1522242495103
MDPH1-715,2712.39329778016,795.917333484666,1916.4759642955,103.178684053412,37.0662564684043,70.2966774452915
MDPH1-914,3367.79523750122,1272.126590345,2095.73510646983,21.0934878820645,35.7842360294929,38.219250953538
MDPH2-515,3079.88130401611,1174.17439162263,1905.90575794304,4.22591645659899,5.60804003196125,2.8352246711822
MDPH2-915,4154.26416677157,1720.01281389517,2434.38448254592,19.6575220123737,15.7891851227804,23.2373893728716
MI5S1-415-2,1186.12415456634,337.832463776736,848.344841346185,26.8839655657171,7.08769779616766,20.1547844594065
MI5S2-1015-2,4169.78204602802,1756.19928247872,2413.63598954596,94.3695938718273,59.738909751258,34.9560292385122
MI5S2-115-2,2292.07775245661,686.691827984018,1605.38592447259,41.7337383550068,14.8824420179131,30.3425245555547
MI5S2-515-DMSO,6437.90465448723,3589.10416720342,2849.14686734347,81.0076981117486,48.320047335058,60.2363296229995
MI5S2-715-2,1625.18616118803,535.575729058362,1089.67700588709,57.9544978619158,21.8035044670011,36.2909579743121
MI5S2-815,2594.71469700751,900.394048166321,1694.33395635794,37.4398525706071,15.7900409077548,22.2385373245571
MI5S2-915-2,1561.08534811036,436.194507344023,1124.95733189643,58.9316300026625,21.0758840456694,40.2139999209748
MINE1-714,10446.7936414906,4120.11197741339,6326.74832274485,65.4147451332384,34.5127730129124,39.6138449046371
MINE1-715,8635.44440241565,3331.12699303133,5304.71700192511,46.0846686288923,28.1450831734467,18.4502597799359
MINE1-914,9477.07175534145,3768.44391817193,5708.82766539299,127.513033947726,74.7535243472812,54.800463285191
MINE2-515,7242.58892917538,3177.42543453656,4065.42996412872,382.066322202078,489.355229230039,116.29960710719
MINE2-915,6666.0767491109,2573.14738917634,4093.0625095631,73.6865337062884,50.1727980515835,37.3819894048743
MINH1-714,8939.99932203505,3788.3672500988,5151.89807948542,123.932347919121,31.0188354029555,92.788437330349
MINH1-715,8164.07057614945,3208.02557142014,4956.44392912307,348.15032882945,125.104338483927,223.738433812958
MINH1-914,8447.99358428613,3156.07491151901,5292.38509970494,301.130540201128,173.453716665439,129.110675481819
MINH2-515,6720.68989622319,2847.29362090253,3873.52943022642,93.0324229393844,18.8984103444679,75.9985504291274
MINH2-915,6587.39623665916,2541.91002914373,4045.95275288606,69.1747760978383,36.5422973033133,32.5155201573073
MLB-915-2,8190.37067017685,2371.14605009029,5819.42411603318,179.100465593613,66.9830457805218,122.872188072807
MLB-D-D_July,7591.28827874647,2147.22245747562,5444.19909862791,108.678445826851,66.6297784531905,55.7401875787215
MLB-D-N_September,4252.00335647553,1404.98520647837,2847.21799279459,66.4468721749893,50.4824279392951,22.3520380193765
MLB-S-N_September,4482.50138595156,1515.70716981751,2966.86087346869,60.7837849749141,7.39110095019597,65.191701665395
MLB40y-S-D_July,13358.1440647319,4584.70172276785,8773.50883044162,268.313613366376,134.780349313573,138.250143606329
MLBD2-1015-2,6857.05362160473,2437.55867049591,4419.68107259365,140.756421273904,97.4529892361761,43.889091498884
MLBD2-115-2,6500.14634581471,2086.31700929471,4413.89598585784,87.886875417897,28.5624187231257,68.3820585495458
MLBD2-415-2,1817.81534585582,722.310217413663,1095.54503798103,30.5936190737841,10.9504654060393,19.7764313804712
MLBD2-515-DMSO,6479.87443182708,3606.51373354955,2873.71932325412,31.6439815024562,23.9756942869603,29.2193401378354
MLBD2-715-2,5982.86682392223,2058.60643675003,3924.44686811179,105.3327232834,61.1544876197858,48.7239782395916
MLBD2-815,6080.63054265929,1683.90727387483,4396.86964142343,58.1051693147759,19.9737154739452,38.4074462844278
MLBS1-415-2,4049.23390141237,2097.9379471094,1951.4822075021,78.6928739498747,78.362705194473,2.8086803963486
MLBS2-1015-2,7823.28757126337,2840.17209898689,4983.34163180156,141.065336534048,71.4867373462298,69.7501811848921
MLBS2-115-2,6405.88309892783,2019.19284115287,4386.82348852063,61.6450289078154,31.9791613454865,49.9777734583401
MLBS2-515-DMSO,1228.5893303791,368.95580233874,859.673492610963,49.0934570692198,14.4933478112316,34.9751506149135
