"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"M15S2F515" 189 0.611105060227401 0.608410641597356 0.0075752951181729 634 0.355684971742054 0.634 999
"M15S2F715" 166 0.653140787878788 0.644959104718446 0.00914821690314507 826 0.894347308001513 0.826 999
"M15S2F815" 155 0.654277519899455 0.646332552143262 0.00877520795710039 849 0.905387974283273 0.849 999
"M15S2F915" 146 0.655242237128011 0.647047827207463 0.00899711874843285 843 0.910781567929854 0.843 999
"M45D2F115" 143 0.617814450901211 0.614283126319464 0.00929639780933481 672 0.379859452464608 0.672 999
"M45D2F415" 111 0.570011888615889 0.571427981950829 0.0110248044015452 387.5 -0.128446118712249 0.3875 999
"M45D2F515" 150 0.617943109619687 0.613808984614144 0.00939047718341712 672 0.440246531118035 0.672 999
"M45D2F715" 131 0.602845136817381 0.600026873254934 0.0102883386142188 623 0.273927955535194 0.623 999
"M45D2F815" 151 0.610980641059603 0.60744362403905 0.00968640843121195 631 0.365152579066913 0.631 999
"M45D2F915" 144 0.622601862859363 0.619045473487279 0.00904175532246966 639 0.393329530079831 0.639 999
"M45S2F415" 117 0.587812446212791 0.587046697151027 0.0110347422478025 493 0.0693943768298626 0.493 999
"M45S2F515" 154 0.608298837959426 0.605540538707794 0.00867867955859737 614 0.317824760438374 0.614 999
"M45S2F715" 135 0.642640694306246 0.634960066992366 0.0100985522724797 799 0.760567169099279 0.799 999
"M45S2F815" 166 0.640241753194597 0.633506598393209 0.00902313886277227 791 0.746431469560521 0.791 999
"M45S2F915" 141 0.652746867274569 0.644205698545557 0.00904482259349545 859 0.944315782949146 0.859 999
"MBRE1F714" 223 0.557459930513473 0.561947955849034 0.00622975483039856 245 -0.720417650091289 0.245 999
"MBRE1F914" 229 0.561453491151459 0.565297406569214 0.0059955806511814 273 -0.641124795310191 0.273 999
"MBRE1F715" 195 0.573266369547978 0.575637700191336 0.00644048083077441 384 -0.368191553653441 0.384 999
"MBRE2F515" 184 0.611921765858874 0.60927658735892 0.00796708528550135 586 0.332013327981775 0.586 999
"MBRE2F915" 221 0.577050176881942 0.579341054142584 0.00637580324019376 391 -0.359308023528703 0.391 999
"MBRH1F714" 243 0.57144932489882 0.57367542870422 0.00595125197378756 324.5 -0.374056385984895 0.3245 999
"MBRH1F914" 265 0.567568289308176 0.570295132798894 0.00538809834805315 341 -0.506086436173349 0.341 999
"MBRH1F715" 216 0.579391092161929 0.580728543228845 0.00656842353585928 377 -0.20361827455457 0.377 999
"MBRH2F515" 158 0.56236104248972 0.566491133728262 0.00807543706897176 288 -0.511438725020932 0.288 999
"MBRH2F915" 222 0.571740461049285 0.574369530713299 0.00608225322368679 352 -0.432252582607925 0.352 999
"MDPE1F514" 206 0.605777424579683 0.604166645557705 0.00685912798727738 577 0.234837289078859 0.577 999
"MDPE1F714" 247 0.552024081498305 0.557148757483991 0.00572530285168939 176 -0.895092559893792 0.176 999
"MDPE1F914" 239 0.584728326711438 0.585450103839644 0.00563924082392943 461 -0.127991896558682 0.461 999
"MDPE1F715" 208 0.566183495447789 0.569545758748343 0.00637874466700532 313 -0.527104230703256 0.313 999
"MDPE2F515" 153 0.576690803233574 0.57843639155151 0.00835010701234966 377 -0.209049814014879 0.377 999
"MDPE2F915" 217 0.573216678614098 0.575990751742526 0.00643239897055591 379 -0.431265713014095 0.379 999
"MDPH1F714" 256 0.565522689338235 0.56848301439215 0.00587487774955801 303 -0.503895600914763 0.303 999
"MDPH1F914" 247 0.55389793818505 0.558952059829818 0.00566857840458286 187 -0.89160302355203 0.187 999
"MDPH1F715" 242 0.566226751826069 0.56945671053688 0.0059898558023258 269 -0.539238141518709 0.269 999
"MDPH2F514" 182 0.607237313460021 0.605290513034436 0.00788855498388971 591 0.246787964279992 0.591 999
"MDPH2F515" 197 0.593807171863669 0.593784324937182 0.00736991613931843 464 0.00310002529952179 0.464 999
"MDPH2F915" 223 0.560626244899608 0.565034604106793 0.00614217852453603 243 -0.717719159346347 0.243 999
"MINE1F514" 186 0.557197648358035 0.561844564472639 0.00711192377021916 258 -0.653397908180931 0.258 999
"MINE1F714" 219 0.567027252314524 0.56993970384024 0.00610151170155738 350 -0.477332777215323 0.35 999
"MINE1F914" 230 0.57629954471236 0.578443755246038 0.00600387243422972 390 -0.35713792342639 0.39 999
"MINE1F715" 235 0.571307685033642 0.573850888976629 0.00598294540172961 345 -0.425075572685528 0.345 999
"MINE2F515" 199 0.587848503121669 0.588255361745177 0.00687278155221648 481 -0.0591985385272896 0.481 999
"MINE2F915" 235 0.581297408983452 0.582620119581302 0.00565343363229927 429 -0.233965884076736 0.429 999
"MINH1F514" 187 0.555344736932896 0.560292745587863 0.00751350158250956 243 -0.658548960245721 0.243 999
"MINH1F714" 231 0.581416841709016 0.582587283719632 0.00536110881531949 432 -0.218320883036607 0.432 999
"MINH1F914" 238 0.565138487040386 0.568621895972844 0.00617375188328941 309 -0.564228851160499 0.309 999
"MINH1F715" 226 0.567255973254671 0.570637860391758 0.00633195837147506 290 -0.534098131839114 0.29 999
"MINH2F515" 202 0.589235031279247 0.58923903637986 0.00674669167951228 494 -0.000593639194334218 0.494 999
"MINH2F915" 232 0.559786013584117 0.563707137242109 0.00628546419005894 282 -0.623839948717407 0.282 999
"MLBD2F115" 219 0.574739823216455 0.576733921635598 0.00597870863299656 367 -0.333533299839626 0.367 999
"MLBD2F415" 168 0.617185084830339 0.614231294962627 0.00866311716654487 611 0.340961551243808 0.611 999
"MLBD2F515" 178 0.593226105503714 0.592840386364273 0.00672701302244076 530 0.0573388423886756 0.53 999
"MLBD2F715" 248 0.5850435000653 0.585673798610874 0.00548651508833743 471 -0.114881402024065 0.471 999
"MLBD2F815" 229 0.59200816134222 0.592098121934085 0.00628775316357501 492 -0.0143072715362831 0.492 999
"MLBD2F915" 264 0.575743011003572 0.57754257168189 0.00519451935336206 368 -0.346434492953388 0.368 999
"MLBS2F115" 209 0.578106118881119 0.58029165888929 0.00607763228431914 355 -0.359603856556198 0.355 999
"MLBS2F515" 153 0.595758983488132 0.594581949264366 0.00926047792994805 513 0.127102967327395 0.513 999
"MLBS2F715" 159 0.601163803837274 0.600418224144055 0.00713382226720905 565 0.10451335417288 0.565 999
"MLBS2F815" 232 0.570080230258248 0.572594967210829 0.00565172375359373 340 -0.444950436755286 0.34 999
"MLBS2F915" 242 0.580229180755118 0.581486636352068 0.00575499841688441 437 -0.218497991808462 0.437 999
"MOTE1F514" 199 0.61139673417593 0.608639173424478 0.00761687460466365 608 0.362033103415408 0.608 999
"MOTE1F714" 234 0.552484350170573 0.557910063397097 0.0061923552781333 180 -0.876195402690067 0.18 999
"MOTE1F914" 247 0.575250228103091 0.577706423557292 0.00583443519525364 335 -0.42098255820881 0.335 999
"MOTE1F715" 188 0.598125733871885 0.597643718759151 0.00669876512052669 579 0.071955816342582 0.579 999
"MOTE2F515" 181 0.612318491098834 0.609065316384524 0.00788491733875151 642 0.412581968148355 0.642 999
"MOTE2F915" 229 0.587759214739907 0.588353194071264 0.00595620651378379 462 -0.0997244353403546 0.462 999
"MOTH1F714" 230 0.558199289158914 0.562768624707487 0.00630191567105091 227 -0.725070881154934 0.227 999
"MOTH1F914" 238 0.561102972378825 0.564813132688764 0.00579586134242634 272 -0.640139591121797 0.272 999
"MOTH1F715" 217 0.589714943676395 0.589864785286225 0.00677817773830171 507 -0.0221064739838489 0.507 999
"MOTH1F915" 190 0.605999710944027 0.604143196643594 0.0077507702981976 585 0.239526424988256 0.585 999
"MOTH2F514" 192 0.59679213841623 0.596077068358171 0.00735462647592576 517 0.097227243341384 0.517 999
"MOTH2F515" 198 0.594007453212326 0.593861960807138 0.00710008319102167 494 0.0204916479530518 0.494 999
"Sp13.BD.MLB.SN.1" 155 0.558168779220779 0.562973389350809 0.00840793257146583 258 -0.57143775704564 0.258 999
"Sp13.BD.MM110.SD.1" 127 0.571311771028621 0.573228529171591 0.0102656701439582 400 -0.186715345037457 0.4 999
"Sp13.BD.MM110.SN.1" 131 0.559620815032296 0.563576472472472 0.00989318463738936 289 -0.399836613301133 0.289 999
"Sp13.BD.MM15.DD.1" 186 0.60215140947399 0.600871329022716 0.00831691616660542 513 0.153912871746088 0.513 999
"Sp13.BD.MM15.SD.1" 161 0.600958897515528 0.599226575889554 0.00906059520358809 522 0.191192916916505 0.522 999
"Sp13.BD.MM15.SN.1" 163 0.589415049609937 0.589576354820321 0.00885895352276538 453 -0.0182081562984808 0.453 999
"Su13.BD.MLB.DD.1" 228 0.547712502898215 0.55386073481821 0.00633344612595873 149 -0.970756172503814 0.149 999
"Su13.BD.MLB.SD.1" 208 0.556490433853586 0.560701374980982 0.00625538964087473 248 -0.673170077189255 0.248 999
