Samples,Total.cells,HNA.cells,LNA.cells
Z14-4-1_rep3.fcs,8665.65398145187,2262.35209465942,6364.1269587464
Z14-40-1_rep1.fcs,5909.8164405427,1510.17557861133,4372.50598563448
Z14-40-1_rep2.fcs,5784.34115343112,1472.36321489948,4282.4027816634
Z14-40-1_rep3.fcs,5877.71006094515,1477.67009691278,4363.07323408932
Z14-41-1_rep1.fcs,7074.85167502347,2448.51075730638,4576.5996124573
Z14-41-1_rep2.fcs,6924.18224998503,2344.58259325044,4536.09276149041
Z14-41-1_rep3.fcs,6855.36727679642,2351.33082887059,4461.47390296539
Z14-42-1_rep1.fcs,6828.65571679158,2234.09344602137,4550.51028544092
Z14-42-1_rep2.fcs,6948.23430995678,2305.65458999741,4592.18834027128
Z14-42-1_rep3.fcs,6948.35587245314,2346.59124858093,4562.13029536537
Z14-43-1_rep1.fcs,3958.49515046504,986.238075322141,2946.56549361694
Z14-43-1_rep2.fcs,3870.62080503495,947.838037005318,2891.51347368002
Z14-43-1_rep3.fcs,3861.01850557962,940.051504202184,2889.42566825704
Z14-44-1_rep1.fcs,7295.2616267485,2366.79552066313,4887.61806081377
Z14-44-1_rep2.fcs,7452.32342193023,2461.20973700501,4933.40256005751
Z14-44-1_rep3.fcs,7409.07364085338,2449.56311359047,4925.91926099214
Z14-45-1_rep1.fcs,6204.67123533995,1708.25757727118,4468.64198517512
Z14-45-1_rep2.fcs,5861.95884313686,1617.93177780883,4211.49278457516
Z14-45-1_rep3.fcs,5878.16771924215,1622.23199296507,4213.56623231273
Z14-46-1_rep1.fcs,5498.4960458955,1499.77092089799,3955.49889444433
Z14-46-1_rep2.fcs,5422.17782217782,1470.72927072927,3913.08691308691
Z14-46-1_rep3.fcs,5487.68059468857,1475.33121515497,3971.98409367944
Z14-47-1_rep1.fcs,6343.94624215031,2176.11295548178,4142.03431862725
Z14-47-1_rep2.fcs,6309.59493368383,2149.00227028319,4131.11881148684
Z14-47-1_rep3.fcs,6389.5486935867,2171.70003393281,4198.88620531348
Z14-48-1_rep1.fcs,5843.59679540835,1385.06915381243,4432.02200167404
Z14-48-1_rep2.fcs,5804.02711323764,1352.27272727273,4426.43540669856
Z14-48-1_rep3.fcs,5835.50731853032,1396.39549935278,4409.4394105347
Z14-5-1_rep1.fcs,9534.38752517498,1896.3488803366,7598.75570799019
Z14-5-1_rep2.fcs,9323.79091742754,1897.65160878753,7392.04975878155
Z14-5-1_rep3.fcs,9330.31620080546,1837.59320547071,7457.23513696718
Z14-50-1_rep1.fcs,4249.33697581208,1164.72910726036,3051.30710482761
Z14-50-1_rep2.fcs,4159.40671039254,1141.52429178047,2973.02685353163
Z14-50-1_rep3.fcs,4238.62228792904,1164.3425100891,3027.33048307828
Z14-51-1_rep1.fcs,4832.86379348239,1474.95454454634,3309.3568303063
